empleado_id;tienda_id;nombre;genero;edad;puesto;fecha_contratacion;salario_mensual_bruto
E0056;T011;Marcos Hernández Molina;Hombre;52;Director/a de tienda;2021-01-05;3.245,32 €
E0057;T011;María Sánchez Gómez;Mujer;31;Responsable de sección;2016-03-20;2.025,07 €
E0058;T011;Patricia Ramos Díaz;Mujer;47;Librero/a senior;2021-06-19;1.952,44 €
E0059;T011;Marcos Martínez Vázquez;Hombre;47;Librero/a senior;2021-01-14;2.040,73 €
E0060;T011;Rubén Muñoz López;Hombre;41;Auxiliar de tienda;2016-05-25;1.417,37 €
E0061;T012;Teresa Ruiz Domínguez;Mujer;46;Director/a de tienda;2022-10-26;3.063,71 €
E0062;T012;Alicia González Fernández;Mujer;46;Responsable de sección;2023-05-23;2.443,88 €
E0063;T012;Pedro Álvarez Ruiz;Hombre;45;Librero/a senior;2018-03-21;1.899,14 €
E0064;T012;Iván Álvarez Navarro;Hombre;40;Cajero/a;2019-12-17;1.344,76 €
E0065;T012;Rafael Gutiérrez Ramos;Hombre;30;Librero/a senior;2020-10-12;1.885,98 €
ONLINE;ONLINE;Canal Online (sin empleado físico);-;-;Vendedor/a Online;-;-
